code,pre
1,82
2,96
3,35
4,64
5,18
6,44
7,54
8,34
9,24
10,49
11,85
12,62
13,33
14,21
15,32
16,93
17,56
18,48
19,53
20,59
21,37
22,26
23,13
24,21
25,53
26,47
27,18
28,54
29,12
30,47
31,73
32,98
33,59
34,17
35,43
36,79
37,25
38,23
39,64
40,94
41,90
42,26
43,74
44,84
45,69
46,9
47,65
48,26
49,30
50,66
51,100
52,76
53,59
54,17
55,57
56,38
57,56
58,64
59,88
60,33
61,16
62,25
63,74
64,1
65,22
66,63
67,30
68,66
69,48
70,68
71,41
72,1
73,81
74,63
75,83
76,100
77,94
78,45
79,80
80,83
81,58
82,32
83,51
84,49
85,5
86,62
87,72
88,8
89,91
90,98
91,28
92,42
93,2
94,13
95,78
96,83
97,100
98,90
99,85
100,41
101,6
102,55
103,87
104,7
105,45
108,37
106,2
107,67
109,26
110,2
111,35
112,54
113,21
114,39
115,69
116,81
117,17
118,51
119,71
120,2
121,56
122,78
123,7
124,69
125,21
126,18
127,90
128,5
129,55
130,15
131,29
132,51
133,40
134,17
135,13
136,96
137,99
138,59
139,28
140,60
141,23
142,29
143,78
144,20
145,52
146,5
147,36
148,4
149,48
150,87
151,59
152,12
153,45
154,44
155,88
156,74
157,30
158,73
159,56
160,64
161,23
162,8
163,60
164,46
165,67
166,51
167,77
168,68
169,7
170,79
171,50
172,83
173,36
175,31
174,19
176,26
177,81
178,65
179,92
180,33
181,3
182,54
183,78
184,90
185,24
186,60
187,100
188,100
189,1
191,46
190,30
192,85
193,82
194,58
195,14
196,31
197,34
198,36
199,24
200,8
201,87
202,54
203,11
204,80
205,11
206,27
207,93
208,91
209,23
210,22
211,1
212,37
213,42
214,85
215,70
216,75
217,37
218,4
219,31
220,82
221,84
222,97
223,79
224,97
225,53
226,94
227,26
228,31
229,71
230,18
231,40
232,86
233,44
234,34
235,56
236,31
237,47
238,64
239,10
240,79
241,81
242,75
243,93
244,27
245,5
246,97
247,36
248,81
249,75
250,14
251,91
252,45
254,36
253,46
255,99
256,69
257,67
258,40
259,35
260,8
261,8
262,11
263,12
264,92
266,79
267,6
265,71
268,13
269,78
270,85
271,96
272,7
273,44
274,16
276,43
275,9
278,4
277,73
280,30
279,81
281,50
282,17
283,20
284,91
285,29
287,44
286,88
288,70
289,45
291,44
290,14
292,77
293,8
295,88
296,43
294,2
297,90
298,7
299,21
301,84
300,54
302,51
303,27
304,97
305,43
306,57
309,38
308,50
307,8
311,95
310,72
312,79
313,96
314,9
315,43
316,10
317,72
318,24
319,91
320,100
321,95
322,13
323,53
324,16
327,36
325,30
326,79
328,20
329,1
331,72
330,73
332,71
335,60
333,24
334,12
336,6
337,80
340,28
338,93
339,29
341,86
342,76
343,24
344,73
346,47
345,19
349,48
347,7
348,58
350,94
351,20
353,46
352,7
354,22
357,73
356,92
358,14
355,92
362,32
359,87
360,69
361,62
364,15
363,32
366,82
365,65
367,42
369,83
370,6
368,4
371,13
372,21
373,5
374,5
375,75
376,34
377,14
378,78
379,96
381,87
380,39
385,59
384,55
382,100
383,34
386,90
387,38
388,64
391,38
389,42
390,45
392,98
393,61
394,74
395,43
396,13
397,19
398,62
399,92
400,28
401,59
402,40
403,86
404,49
405,19
406,64
407,50
409,60
408,13
410,38
411,80
412,46
413,35
415,73
414,88
416,17
417,95
419,37
418,29
420,51
421,20
422,68
425,66
424,77
423,83
427,49
426,39
429,6
428,93
431,29
430,11
432,18
433,52
434,37
435,52
436,90
437,15
438,87
439,40
440,31
441,22
442,87
443,83
444,36
445,54
446,19
447,17
448,55
449,24
450,83
451,45
452,34
453,88
454,77
455,9
456,10
457,71
458,46
459,63
460,30
461,44
462,16
463,82
464,6
465,27
466,2
467,55
468,38
469,12
470,58
471,90
472,10
473,17
475,6
476,62
474,74
477,9
479,86
478,96
480,21
481,23
482,98
484,84
483,66
485,33
486,61
487,9
488,83
489,44
490,17
492,37
493,38
491,95
494,11
495,58
496,72
498,45
497,42
499,85
500,48
502,80
501,48
503,4
504,42
505,32
506,91
508,39
507,70
509,53
510,56
512,24
511,99
514,58
513,56
515,98
516,34
518,1
517,86
519,74
521,61
520,57
522,60
523,75
524,75
526,50
525,9
527,86
528,39
531,25
530,4
529,100
532,58
534,92
533,99
535,15
536,11
538,23
537,32
540,2
539,99
542,49
541,91
543,7
544,97
545,27
546,10
548,12
550,15
547,87
549,9
551,62
552,3
553,10
554,8
555,76
557,30
556,27
558,52
559,71
560,72
562,24
561,99
563,42
566,71
567,25
564,29
568,69
569,60
565,46
570,36
571,41
573,52
572,70
574,76
575,67
577,96
576,89
578,52
579,3
581,11
582,71
580,33
583,5
584,36
586,14
585,72
587,61
588,92
589,6
590,16
591,61
592,77
594,89
593,46
595,84
596,86
597,80
598,49
599,65
600,93
602,85
603,61
601,3
604,76
605,72
606,44
607,16
608,99
610,3
609,27
611,80
612,25
613,11
614,57
615,97
616,61
620,94
618,6
619,6
617,22
621,82
624,76
622,88
623,92
625,38
626,76
627,41
628,75
629,83
630,42
631,13
632,48
633,99
634,56
635,25
636,51
637,54
638,67
639,17
640,6
641,3
642,49
643,25
644,41
645,77
646,64
647,4
648,39
649,89
650,10
652,68
651,76
653,93
654,86
655,63
656,56
657,11
658,15
660,6
662,60
659,3
661,8
663,2
664,34
665,97
666,60
667,36
668,84
669,32
670,24
671,39
672,40
673,39
674,84
675,56
676,1
677,70
678,23
679,32
680,95
681,49
682,66
683,98
684,18
685,91
686,37
687,80
688,87
689,65
690,81
691,86
692,22
693,55
694,94
695,83
696,66
697,56
698,89
699,49
700,17
701,67
702,89
703,95
704,35
705,84
706,76
708,60
707,45
709,54
712,69
711,33
710,58
713,1
714,10
715,20
716,20
717,23
718,41
719,99
720,3
721,48
722,16
723,89
724,8
725,85
726,62
727,100
728,41
729,25
730,95
731,25
732,42
733,100
734,57
735,7
736,67
737,61
738,47
739,46
740,32
741,43
742,67
743,63
744,20
745,53
746,68
747,83
748,39
749,79
750,85
751,30
752,85
753,95
754,41
755,68
756,5
757,13
758,60
759,5
760,94
761,31
762,7
763,38
764,63
765,51
766,82
767,40
768,41
769,73
770,65
771,66
772,58
773,53
774,4
775,9
776,52
777,9
778,30
779,89
780,86
781,1
782,79
783,66
784,14
785,92
786,5
787,19
788,41
789,18
790,66
791,12
792,96
793,91
794,50
795,99
796,92
797,98
798,89
799,63
800,15
801,73
802,93
803,26
804,20
805,80
806,21
807,95
809,2
808,70
810,62
811,15
812,23
813,78
814,98
815,40
817,68
816,12
818,22
819,62
820,95
821,96
822,33
823,35
824,98
825,92
826,13
827,50
828,9
829,23
830,55
831,26
832,10
833,74
834,81
835,62
836,56
837,89
838,65
839,88
840,45
841,28
842,65
843,12
844,33
846,33
847,22
848,38
845,28
849,12
850,53
851,70
852,58
853,24
854,43
855,41
856,48
857,62
858,75
859,51
860,75
861,57
862,57
863,61
864,30
865,75
866,29
867,84
868,78
869,19
870,68
871,67
872,40
873,16
874,15
875,84
876,29
877,27
878,76
879,43
880,4
881,67
882,43
883,94
884,57
885,90
886,47
887,26
888,35
889,37
890,48
891,81
892,25
893,29
894,90
895,82
896,50
897,20
898,64
899,80
900,69
901,57
902,46
903,97
904,88
905,95
906,69
907,89
908,28
910,97
909,19
911,25
912,11
913,50
914,70
915,16
916,53
918,95
917,73
919,21
920,54
921,63
922,19
923,91
924,16
925,31
926,50
927,44
928,33
929,2
930,2
931,57
932,79
933,31
934,9
935,82
936,39
937,37
938,49
939,83
940,31
941,96
942,94
943,72
944,98
945,63
946,27
947,46
948,18
949,6
950,88
951,63
952,15
953,22
954,51
955,71
956,1
957,5
958,55
959,25
960,53
961,36
962,77
963,55
964,82
965,3
966,69
967,35
968,74
969,97
970,65
971,72
972,93
973,37
974,71
975,22
976,17
977,70
978,26
979,50
980,59
981,3
982,14
983,85
984,11
985,93
986,10
987,35
988,94
989,77
990,87
991,78
992,4
993,23
994,32
995,44
996,42
997,21
998,70
999,59
1000,75
