code,pre
1,82
2,96
3,35
4,64
5,18
6,44
7,54
8,34
9,24
10,49
11,85
12,62
13,33
14,21
15,32
16,93
17,67
18,48
19,53
20,59
21,37
22,26
23,13
24,21
25,53
26,6
27,18
28,54
29,12
30,47
31,73
32,98
33,59
34,17
35,43
36,79
37,18
38,23
39,64
40,94
41,90
42,26
43,74
44,84
45,69
46,9
47,62
48,26
49,60
50,66
51,100
52,76
53,59
54,17
55,57
56,38
57,65
58,64
59,88
60,33
61,16
62,25
63,95
64,1
65,22
66,63
67,30
68,66
69,48
70,68
71,47
72,1
73,81
74,63
75,77
76,100
77,94
78,45
79,80
80,83
81,58
82,32
83,51
84,49
85,5
86,30
87,72
88,8
89,91
90,98
91,28
92,42
93,2
94,13
95,78
96,83
97,100
98,90
99,85
100,41
101,6
102,55
103,87
104,7
105,45
106,2
107,67
108,37
109,26
110,2
111,35
112,54
113,21
114,39
115,69
116,81
117,17
118,51
119,71
120,2
121,56
122,78
123,7
124,69
125,21
126,18
127,90
128,5
129,55
130,15
131,29
132,51
133,40
134,17
135,13
136,96
137,99
138,59
139,28
140,60
141,23
142,29
143,78
144,20
145,52
146,52
148,4
147,36
150,87
149,48
152,12
151,59
153,45
154,44
156,74
155,88
158,73
157,30
160,16
159,56
161,23
162,8
163,60
164,46
165,67
166,51
168,68
167,77
169,7
170,79
172,83
173,36
174,19
175,31
171,50
176,26
177,81
180,33
178,65
179,92
183,78
182,54
181,3
184,90
185,24
187,100
186,89
188,100
189,1
190,30
191,6
194,58
195,14
193,82
192,85
196,31
198,36
197,34
199,24
200,8
201,87
202,54
203,11
204,80
205,11
206,27
207,93
208,91
209,23
210,22
211,1
212,37
215,70
214,85
213,42
216,75
219,31
218,4
217,37
220,82
221,84
223,79
224,97
222,97
225,53
226,94
227,26
228,31
230,18
229,71
231,40
232,86
233,44
234,34
236,31
235,56
237,47
241,81
238,64
239,10
240,79
243,93
242,75
244,27
245,5
247,36
246,97
249,75
248,81
251,91
252,45
250,35
253,46
254,36
255,99
257,67
256,69
258,40
259,35
261,8
260,8
262,11
263,12
264,92
265,71
266,79
267,84
268,13
269,78
270,85
271,96
273,44
272,7
274,47
275,9
279,81
278,4
276,43
277,73
281,50
280,30
282,17
283,20
284,91
287,38
285,29
286,88
288,70
289,45
290,14
291,44
292,77
293,8
294,2
295,88
296,43
298,7
297,90
300,54
299,21
302,51
301,84
303,27
304,97
305,43
306,57
309,38
310,72
308,50
307,8
312,79
311,95
313,96
314,9
315,43
316,10
318,24
317,72
320,100
321,95
319,91
322,13
325,30
323,53
326,79
324,16
330,73
329,1
328,20
327,36
331,72
333,24
332,71
334,12
335,60
337,80
338,93
336,81
342,76
339,29
340,28
341,86
344,73
343,24
345,19
346,47
347,7
348,58
351,20
349,48
350,94
352,7
353,46
354,22
355,92
356,92
357,73
358,14
359,87
360,69
361,62
362,32
363,32
365,65
364,15
366,82
367,42
368,4
369,15
370,6
372,21
373,5
371,65
374,5
376,34
377,14
378,78
375,75
381,87
379,59
380,39
382,100
383,34
386,90
385,59
384,55
387,38
389,42
390,45
388,64
391,38
392,98
393,61
394,74
396,13
397,19
395,43
398,62
401,59
399,92
400,28
402,40
404,49
405,19
403,86
406,64
408,13
407,27
410,38
411,80
409,60
415,73
412,46
413,35
414,88
417,95
418,29
416,17
419,37
421,20
420,51
422,68
423,83
426,19
425,66
424,77
427,49
430,11
429,64
428,93
431,29
433,52
432,18
434,37
435,52
436,90
437,15
438,87
439,40
440,31
441,22
442,87
443,83
445,54
444,36
446,19
447,17
449,24
448,55
451,45
450,83
452,34
454,77
455,9
453,88
458,46
456,10
457,71
459,63
460,30
463,82
462,16
461,44
464,6
465,27
466,2
468,38
467,55
469,12
470,58
472,10
471,90
474,74
473,17
476,62
475,6
479,86
480,21
477,43
478,96
481,23
482,98
483,66
484,84
485,33
486,61
487,9
488,83
489,44
491,95
492,37
490,45
495,58
493,38
494,11
497,42
496,72
498,45
499,85
500,48
502,80
501,48
504,42
503,4
506,91
505,32
507,70
508,39
509,53
510,56
512,24
511,99
513,56
514,58
516,34
515,98
517,86
518,1
520,57
519,74
521,61
522,60
524,75
523,75
525,9
526,50
528,39
527,86
529,100
530,4
531,25
532,58
533,99
534,92
535,15
536,11
537,32
538,23
539,99
540,2
541,91
543,7
542,49
544,97
545,27
546,10
548,12
547,87
549,34
550,15
551,62
553,10
552,3
554,8
555,76
556,27
557,30
558,52
559,71
560,72
561,99
562,24
563,42
564,29
565,46
567,25
566,71
568,69
569,60
570,36
573,52
572,70
571,41
574,76
575,67
577,96
576,89
578,52
579,3
581,11
580,33
582,71
583,5
585,72
584,36
586,14
587,61
588,92
589,6
590,16
591,61
592,77
593,46
594,89
595,84
596,86
597,80
598,49
599,65
600,93
601,3
602,85
603,61
604,76
606,44
605,72
610,3
607,43
608,99
609,27
611,80
612,25
613,11
614,57
615,97
617,22
618,6
616,61
619,6
620,94
621,82
622,88
623,92
624,76
626,76
625,38
627,41
628,75
629,83
630,42
631,13
632,48
633,99
634,56
635,5
636,51
637,54
639,17
638,67
640,6
641,3
642,49
643,25
644,41
645,77
648,39
646,64
649,89
647,4
650,10
651,76
652,68
653,93
654,86
655,63
656,56
657,85
658,15
659,3
660,6
661,8
662,60
663,2
664,34
665,97
666,60
667,36
668,84
669,32
670,24
671,39
672,40
673,39
674,84
675,56
676,1
677,70
678,23
679,32
680,95
681,49
682,66
683,98
684,18
685,91
686,45
687,80
688,87
689,65
690,81
691,86
692,22
693,55
694,94
695,83
696,66
697,56
698,89
699,49
700,17
701,67
702,89
703,95
704,35
706,76
705,84
707,45
708,60
709,54
710,58
711,33
712,69
713,1
714,10
715,20
716,20
717,23
718,41
719,99
720,3
721,48
722,16
723,89
724,8
725,85
726,62
727,100
728,41
729,25
730,95
731,25
732,42
733,100
734,57
735,7
736,67
737,61
738,47
739,66
740,32
741,43
742,67
743,63
744,20
745,53
746,68
747,99
748,39
749,79
750,85
751,30
752,6
753,95
754,41
755,74
756,5
757,13
758,60
759,5
760,94
761,31
762,7
763,38
764,63
765,51
766,82
767,40
768,41
769,73
770,65
771,66
772,58
773,53
774,4
775,9
776,52
777,9
778,30
779,89
780,86
781,1
782,79
783,66
784,14
785,92
786,5
787,19
788,41
789,18
790,66
791,12
792,96
793,91
794,50
795,99
796,92
797,98
798,89
799,63
800,15
801,73
802,47
803,26
804,20
805,80
806,24
808,70
807,95
809,2
810,62
811,15
812,23
813,78
814,98
815,40
816,12
817,68
818,22
819,62
820,95
821,96
822,33
823,35
824,98
825,47
826,13
827,50
828,9
829,23
830,55
831,26
832,10
833,74
834,81
835,62
836,56
837,55
838,65
839,88
840,45
841,28
842,65
843,12
844,33
845,28
846,33
847,22
848,38
849,12
850,53
851,70
852,99
853,17
854,43
855,41
856,48
857,62
858,75
859,51
860,77
861,57
862,57
863,61
864,30
865,75
866,29
867,84
868,78
869,19
870,68
871,67
872,40
873,16
874,15
875,84
876,29
877,27
878,76
879,19
880,4
881,67
882,43
883,94
884,57
885,90
886,47
887,26
888,35
889,37
890,48
891,81
892,25
893,29
894,90
895,82
896,50
897,20
898,64
899,80
900,69
901,57
902,46
903,97
904,88
905,95
906,69
907,89
908,28
909,19
910,97
911,25
912,11
913,50
914,70
915,16
916,53
917,73
918,95
919,24
920,54
921,63
922,19
923,91
924,16
925,31
926,50
927,44
928,33
929,2
930,14
931,57
932,79
933,31
934,4
935,82
936,39
937,37
938,49
939,83
940,31
941,96
942,94
943,72
944,98
945,63
946,27
947,46
948,18
949,6
950,88
951,63
952,15
953,22
954,51
955,71
956,1
957,5
958,55
959,25
960,53
961,36
962,77
963,55
964,82
965,3
966,69
967,35
968,74
969,97
970,16
971,72
972,93
973,37
974,71
975,22
976,28
977,70
978,26
979,50
980,59
981,3
982,14
983,85
984,11
985,93
986,10
987,35
988,94
989,77
990,87
991,78
992,4
993,23
994,32
995,44
996,42
997,21
998,70
999,59
1000,75
