code,pre
1,41
2,10
3,41
4,10
6,10
5,41
7,10
8,10
9,10
10,41
11,10
12,41
13,41
14,56
15,41
16,10
17,10
18,10
19,10
20,10
21,41
22,56
23,10
24,10
25,41
26,10
27,10
28,47
29,10
30,47
31,41
32,47
33,41
34,10
35,10
36,10
37,41
38,41
39,41
40,10
41,10
42,10
43,10
44,10
45,10
46,41
47,10
48,10
49,41
50,10
51,10
52,10
53,41
54,47
55,10
56,10
57,10
58,47
59,10
60,41
61,41
62,10
63,47
64,10
65,10
66,10
67,10
68,10
69,10
70,47
71,41
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,41
82,41
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,56
92,41
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,41
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,41
109,56
110,41
111,41
112,10
113,17
114,47
115,47
116,10
117,10
118,47
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,10
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,10
136,10
137,10
138,41
139,10
140,10
141,41
142,47
143,41
144,10
145,10
146,10
147,41
148,17
149,10
150,10
151,10
152,10
153,10
154,56
155,47
156,10
157,41
158,10
159,10
160,10
161,56
162,10
163,10
164,10
165,10
167,10
166,41
168,10
169,10
170,10
171,56
172,10
173,41
174,10
175,41
176,10
177,10
178,10
179,10
180,10
181,56
182,10
183,10
184,10
185,47
186,41
187,41
188,41
189,10
190,10
191,10
192,10
193,10
194,41
195,41
196,10
197,10
198,10
199,10
200,10
201,17
202,47
204,10
203,41
205,41
206,41
207,10
208,10
210,41
209,41
211,41
212,10
213,47
214,17
215,10
216,10
217,47
218,10
219,10
220,41
221,10
222,10
223,41
224,10
225,56
226,10
227,10
228,10
229,10
230,10
231,47
232,10
233,41
234,10
235,10
236,10
237,10
238,41
239,10
240,41
241,10
242,17
243,10
244,47
245,10
246,10
247,10
248,10
249,10
250,41
251,10
252,10
253,10
254,47
255,41
256,10
257,10
258,10
259,41
260,10
261,10
262,47
263,10
264,10
265,10
266,10
267,10
268,10
269,41
270,10
271,10
272,10
273,10
274,10
275,10
276,10
277,10
278,41
280,10
282,10
279,10
281,10
283,10
284,10
286,10
285,10
288,10
289,10
287,41
290,41
291,10
292,10
294,10
293,10
296,10
295,10
298,41
297,10
299,41
300,47
302,10
301,41
304,10
303,71
305,10
307,10
306,41
308,10
309,56
310,10
312,10
313,10
311,10
315,10
316,10
314,41
317,10
318,17
319,10
320,10
321,10
325,10
324,56
323,41
322,10
326,10
327,56
329,10
328,10
330,41
331,10
332,10
333,10
334,10
336,10
337,10
335,10
338,10
341,17
339,10
340,41
343,10
342,41
344,10
345,10
346,47
348,10
347,10
349,10
350,10
351,10
352,41
353,10
356,10
355,10
354,10
357,10
358,17
359,10
360,10
364,10
361,10
363,10
362,10
366,41
365,10
368,17
367,47
371,10
369,17
370,41
372,56
374,10
376,10
375,71
373,10
377,41
380,10
379,10
378,10
381,47
382,10
383,41
384,10
386,10
385,17
387,41
390,10
388,10
389,47
391,56
394,41
393,10
392,17
395,41
397,41
396,10
398,10
399,10
400,10
401,10
402,10
403,47
405,10
404,41
406,10
407,41
408,10
409,41
411,10
410,47
412,10
413,41
414,10
415,41
416,10
419,41
417,10
418,41
421,10
420,56
422,47
423,41
424,41
425,10
427,41
426,10
429,10
428,10
433,10
431,10
432,10
430,41
435,41
436,10
434,47
437,41
438,10
439,10
440,10
441,41
442,10
444,10
443,41
445,47
446,41
448,10
450,10
447,10
449,41
454,41
453,41
452,41
451,10
457,47
456,47
455,10
458,10
459,10
460,10
462,10
461,10
463,10
464,10
465,10
466,10
469,10
468,10
470,41
467,41
474,10
471,10
472,10
473,47
475,10
478,10
477,10
476,10
479,10
481,47
480,10
483,10
482,47
485,10
484,10
486,10
487,41
488,10
489,41
491,47
490,10
492,10
494,10
493,47
495,10
496,10
498,10
497,41
499,10
500,10
501,10
502,10
504,41
503,56
505,10
506,10
507,10
508,10
509,47
510,10
511,41
512,41
513,10
514,10
516,41
517,17
515,47
518,41
521,10
520,10
519,10
523,10
524,10
525,10
522,10
528,41
526,10
527,47
529,10
531,10
533,41
532,10
530,56
536,41
534,10
535,41
537,47
538,41
539,17
540,10
541,10
542,41
543,41
544,10
545,10
546,10
547,10
548,17
550,10
549,10
552,47
551,10
554,41
555,10
553,10
556,71
557,10
558,41
561,41
559,10
562,56
560,10
563,47
565,10
564,41
566,10
567,10
568,10
569,10
570,41
574,10
571,41
572,10
573,41
576,10
577,10
575,10
578,10
579,10
581,10
580,41
582,10
583,10
585,10
584,41
586,10
587,10
590,47
589,10
588,10
591,10
592,10
594,10
593,10
595,10
596,47
599,10
598,41
597,10
601,47
600,10
602,10
603,41
604,10
606,10
605,10
607,10
608,41
609,71
611,10
610,47
612,71
613,41
614,10
615,10
616,10
618,10
617,47
619,41
620,10
621,10
623,47
624,17
622,71
625,10
626,41
627,41
628,10
629,41
630,47
631,41
632,10
633,41
634,10
635,10
636,41
637,47
638,41
639,41
640,10
641,47
642,10
643,47
644,41
645,10
647,41
646,10
648,47
649,10
650,47
651,10
652,47
653,41
654,41
655,10
656,10
657,47
659,47
658,41
660,41
661,10
662,10
663,47
664,41
665,10
666,10
667,41
668,10
669,41
670,10
671,10
672,41
673,10
674,10
675,10
676,41
677,10
678,47
679,10
680,10
681,41
682,10
683,56
684,47
685,10
686,10
687,10
688,41
689,10
690,10
691,47
692,41
693,41
694,10
695,10
696,10
697,10
698,10
699,47
700,10
701,10
702,41
703,10
704,41
705,17
706,47
707,10
709,10
708,10
710,10
711,10
714,10
712,47
713,41
715,10
716,10
717,10
718,41
719,10
720,47
721,41
722,41
723,41
724,41
725,10
726,10
727,10
728,41
729,10
730,10
731,47
732,10
733,10
734,10
735,47
736,10
737,10
738,10
739,10
740,41
741,10
742,10
743,10
744,10
745,10
746,10
747,10
748,10
749,10
750,10
751,10
752,10
753,10
754,41
755,47
756,10
757,10
758,10
759,10
760,10
761,10
762,10
763,10
764,71
765,41
766,10
767,47
768,41
769,56
770,10
771,10
772,10
773,47
774,10
775,10
776,10
777,41
778,10
779,41
780,10
781,10
782,10
783,56
784,10
785,10
786,10
787,10
788,47
789,47
790,10
791,47
792,47
793,10
794,10
795,10
796,10
797,10
798,10
799,71
800,10
801,41
802,10
803,10
804,10
805,10
806,10
807,10
809,10
808,10
810,10
811,47
812,10
814,56
813,10
815,10
816,47
817,10
818,41
819,10
820,10
821,10
822,41
823,10
824,56
825,10
826,10
827,10
828,41
829,10
830,41
831,10
832,10
833,10
834,10
835,10
836,41
837,41
838,10
839,10
840,10
841,41
842,10
843,10
844,10
845,56
846,41
847,47
848,10
849,41
850,10
851,10
852,10
853,47
854,10
855,41
856,10
857,10
858,10
859,41
860,10
861,10
862,10
863,10
864,41
865,10
866,10
867,10
868,10
869,41
870,10
871,41
872,10
873,41
874,10
875,10
876,10
877,71
878,10
879,47
880,10
881,47
882,41
883,10
884,10
885,10
886,41
887,10
888,41
889,41
890,41
891,10
