code,pre
1,82
2,96
3,35
4,64
5,18
7,54
8,34
6,44
9,24
10,49
11,85
12,62
13,33
14,21
15,32
16,93
17,56
18,48
19,53
20,59
21,37
22,26
23,13
24,21
25,53
26,9
27,18
28,54
29,12
30,47
31,73
32,98
33,59
34,17
35,43
36,79
37,18
38,23
39,64
40,94
41,90
42,26
43,74
44,84
45,69
46,9
47,65
48,26
49,65
50,66
51,100
52,76
53,59
54,17
55,57
56,38
57,65
58,64
59,88
60,33
61,16
62,25
63,74
64,1
65,22
66,63
67,30
68,66
69,48
70,68
71,47
72,1
73,81
74,63
75,77
76,100
77,94
78,45
79,80
80,83
83,51
81,58
82,32
84,49
85,5
86,74
87,72
88,8
89,91
90,98
91,28
92,42
93,2
94,13
95,78
96,83
97,100
98,90
99,85
100,41
101,6
102,55
103,87
104,7
105,45
107,67
106,2
108,37
109,64
110,2
111,35
112,54
113,21
114,76
115,69
116,81
117,17
118,51
119,71
120,2
121,56
122,78
123,7
124,69
125,21
126,18
127,90
128,5
129,55
130,15
131,29
132,51
134,17
133,40
135,13
136,96
137,99
138,59
139,28
140,60
141,41
142,29
143,78
144,20
145,52
146,52
147,36
148,4
149,48
150,87
151,59
152,12
153,45
154,44
155,88
156,74
157,30
159,56
158,73
160,18
161,23
162,8
163,60
164,46
166,51
165,67
167,77
168,68
169,7
170,79
171,50
172,83
173,36
174,19
175,31
176,26
177,81
179,92
178,65
180,33
181,3
182,54
183,78
184,90
185,24
186,61
187,100
188,100
189,1
190,30
191,46
192,85
193,82
194,58
195,14
196,31
197,34
198,36
199,24
200,8
201,87
202,54
203,11
204,80
205,11
206,27
207,93
208,91
209,23
210,22
211,1
212,37
213,42
214,63
215,70
216,75
218,4
217,37
219,31
220,82
221,84
222,97
223,79
225,53
224,97
226,94
227,26
228,31
230,18
229,71
231,40
232,86
233,44
234,34
235,56
236,31
237,47
238,64
239,10
240,79
241,81
242,75
243,93
244,27
245,5
246,97
247,36
248,81
250,35
249,75
251,91
252,45
253,46
255,99
256,69
257,67
254,36
258,40
260,8
261,8
259,35
262,11
263,12
264,92
265,71
266,51
267,62
268,13
269,78
270,85
271,96
272,7
273,44
274,16
275,9
276,43
277,73
278,4
279,81
280,30
281,50
282,17
283,20
284,91
285,29
286,88
287,38
288,70
289,45
290,14
292,77
291,44
293,8
294,2
295,88
296,43
297,90
298,7
299,21
300,54
301,84
302,51
303,27
304,97
305,43
306,57
307,8
308,50
309,38
310,72
311,74
312,79
313,96
314,9
315,43
316,10
317,72
318,24
319,91
321,95
320,100
322,13
323,53
324,16
325,30
326,79
327,52
328,20
329,1
330,73
331,72
332,71
333,24
334,12
335,60
336,81
337,80
338,93
339,29
340,28
341,86
342,76
343,24
344,73
345,19
346,47
347,7
348,58
349,48
351,20
350,94
352,7
353,46
354,22
355,92
356,92
357,73
358,14
359,87
360,69
361,62
362,32
363,32
364,15
365,65
366,82
367,42
368,4
369,15
370,6
371,63
372,21
373,5
374,5
376,34
377,14
378,78
379,59
380,39
375,75
381,87
382,100
383,34
384,55
385,59
386,90
387,38
388,64
389,42
390,45
391,52
392,98
393,61
394,74
395,43
396,13
397,19
398,62
399,92
400,28
401,59
402,40
403,86
404,49
405,19
406,64
407,95
408,13
409,60
410,38
411,80
412,46
413,35
414,88
416,17
415,73
417,95
418,29
419,8
420,51
421,20
422,68
425,66
423,83
424,77
426,19
429,64
428,93
427,49
430,11
431,29
433,52
432,18
435,52
434,37
436,90
437,15
438,87
439,40
440,31
441,22
442,87
444,36
443,83
446,19
445,54
447,17
448,55
449,24
450,83
451,45
452,34
454,77
455,9
453,88
456,10
457,71
458,46
459,63
460,30
461,44
464,6
465,27
462,16
463,82
467,55
466,2
468,38
469,12
471,90
472,10
473,17
470,58
474,74
476,62
477,9
475,6
478,96
481,23
479,86
480,21
482,98
483,66
484,84
486,61
485,33
490,45
487,9
488,83
489,44
493,38
492,37
491,95
494,11
496,72
495,58
497,42
499,85
500,48
498,45
501,48
502,80
503,4
504,42
505,32
506,91
507,70
508,39
509,53
510,56
512,24
511,99
514,58
513,56
515,98
518,1
517,86
516,34
520,57
521,61
522,60
519,74
524,75
526,50
525,9
523,75
527,86
528,39
529,100
530,4
531,25
532,58
536,11
534,92
535,15
533,99
537,32
539,99
538,23
540,2
541,91
542,49
544,97
543,7
547,87
545,27
546,10
548,12
549,41
551,62
550,15
552,3
553,10
555,76
554,8
556,27
557,30
558,52
560,72
559,71
561,99
562,24
563,42
564,29
566,71
565,46
567,25
568,69
569,60
570,36
572,70
573,52
571,41
575,67
576,89
574,76
577,96
579,3
578,52
581,11
580,33
582,71
583,5
584,36
585,72
586,14
587,61
589,6
590,16
588,92
591,61
594,89
592,77
593,46
596,86
598,49
595,84
597,80
601,3
600,93
602,85
599,65
603,61
604,76
605,72
606,44
607,9
608,99
609,27
610,3
611,80
612,25
613,11
614,57
615,97
616,61
617,22
618,6
619,6
621,82
620,94
622,88
624,76
625,38
626,76
623,92
627,41
628,75
629,83
630,42
631,13
632,48
633,99
634,56
635,40
636,51
637,54
639,17
640,6
638,67
641,3
642,49
643,25
644,41
645,77
646,64
647,4
648,39
649,89
650,10
651,76
653,93
652,68
654,86
655,63
656,56
657,74
658,15
659,3
660,6
661,8
662,60
664,34
665,97
663,2
666,60
667,36
668,84
669,32
670,24
672,40
671,39
673,39
674,51
675,56
676,1
677,70
678,23
679,32
680,95
681,49
682,66
683,98
684,18
685,91
686,32
687,80
688,87
689,65
690,81
691,86
692,22
693,55
694,94
695,83
696,66
697,56
698,89
699,49
700,17
701,67
702,89
703,95
704,35
705,84
706,76
707,45
708,60
710,58
709,54
711,33
712,69
714,10
713,1
715,20
716,20
717,23
718,41
719,99
720,3
721,48
722,16
723,89
724,8
725,85
726,62
727,100
728,41
729,25
730,95
731,25
732,42
733,100
734,57
735,7
736,67
737,61
738,47
739,66
740,32
741,43
742,67
743,63
744,20
745,53
748,39
746,68
747,89
749,79
750,85
751,30
752,46
753,95
754,41
755,88
756,5
757,63
758,60
759,5
760,94
761,31
762,7
763,38
764,63
765,51
766,82
767,40
768,41
769,73
770,65
771,66
772,58
773,53
774,4
775,9
776,52
777,9
778,30
779,89
780,86
781,1
782,79
783,66
784,14
785,92
786,5
787,19
788,41
789,18
790,66
791,12
792,96
793,91
794,50
795,99
796,92
797,98
798,89
799,63
800,15
802,47
801,73
803,26
804,20
805,80
807,95
806,24
808,70
809,2
811,15
810,62
812,23
813,78
816,12
815,40
814,98
817,68
818,22
819,62
820,95
821,96
822,33
823,35
824,98
825,9
826,13
827,50
828,9
829,23
830,55
831,26
832,10
833,74
834,81
835,62
836,56
837,89
838,65
839,88
840,45
841,28
842,65
843,12
844,33
845,28
846,33
847,22
848,38
849,12
850,53
851,70
852,58
853,36
854,63
855,41
856,48
857,62
858,75
859,51
860,71
861,57
862,57
863,61
864,30
865,75
866,29
867,84
868,78
871,67
870,68
872,40
869,19
873,16
874,15
875,84
876,29
877,27
878,76
879,43
880,4
881,67
882,43
883,94
884,57
885,90
886,47
887,26
888,35
889,37
890,48
891,81
892,25
893,29
894,90
895,82
896,50
897,20
898,64
899,80
900,69
901,57
902,46
903,97
904,88
905,95
906,69
907,89
908,28
910,97
909,19
911,25
912,11
914,70
913,50
915,16
916,53
917,73
918,95
919,21
920,54
921,63
922,19
923,91
924,16
925,31
926,50
927,44
928,33
929,2
930,14
931,57
932,79
933,31
934,14
935,82
936,39
937,37
938,49
939,83
940,31
941,96
942,94
943,72
944,98
945,63
946,27
947,46
948,18
949,6
950,88
951,63
952,15
953,22
954,51
955,71
956,1
957,5
958,55
959,25
960,53
961,36
962,77
963,55
964,82
965,57
966,69
967,35
968,74
969,97
970,16
971,72
972,93
973,37
974,71
975,22
976,28
977,70
978,26
979,50
980,59
981,3
982,14
983,85
984,11
985,93
986,10
987,35
988,94
989,77
990,87
991,78
992,4
993,23
994,32
995,44
996,42
997,21
998,70
999,59
1000,75
